1,jwh@hotmail.co,tabitha.stacey@gmail.com,2018-04-05,1,University Sports Centre
2,louis.payne@gmail.com,final_fantasy_freak1993@hotmail.com,2018-04-11,3,University Sports Centre
3,jwh@hotmail.co,sylvia.hathaway@gmail.com,2018-04-17,1,University Sports Centre
4,louis.payne@gmail.com,jwh@hotmail.co,2018-05-07,3,University Sports Centre
5,tabitha.stacey@gmail.com,final_fantasy_freak1993@hotmail.com,2018-05-23,2,Forthill Lawn Tennis Club
6,sylvia.hathaway@gmail.com,tabitha.stacey@gmail.com,2018-05-25,2,Waterstone Crook Sports Centre
7,louis.payne@gmail.com,tabitha.stacey@gmail.com,2018-05-28,1,University Sports Centre
8,final_fantasy_freak1993@hotmail.com,sylvia.hathaway@gmail.com,2018-06-13,1,University Sports Centre
9,jwh@hotmail.co,final_fantasy_freak1993@hotmail.com,2018-06-21,1,University Sports Centre
10,sylvia.hathaway@gmail.com,louis.payne@gmail.com,2018-07-09,3,University Sports Centre
11,srrogers@yahoo.co.uk,tasha.marsden@gmail.com,2018-09-30,1,Waterstone Crook Sports Centre
12,gary_the_man@yahoo.co.uk,u_marsden@gmail.com,2018-10-28,2,Forthill Lawn Tennis Club
13,srrogers@yahoo.co.uk,u_marsden@gmail.com,2018-11-02,1,Waterstone Crook Sports Centre
14,gary_the_man@yahoo.co.uk,tasha.marsden@gmail.com,2018-11-04,4,Waterstone Crook Sports Centre
15,tasha.marsden@gmail.com,u_marsden@gmail.com,2018-11-06,2,Forthill Lawn Tennis Club
16,gary_the_man@yahoo.co.uk,srrogers@yahoo.co.uk,2018-11-09,2,Waterstone Crook Sports Centre
17,tabitha.stacey@gmail.com,butch@xyz.club,2019-04-11,1,University Sports Centre
18,butch@xyz.club,final_fantasy_freak1993@hotmail.com,2019-04-12,1,University Sports Centre
19,sylvia.hathaway@gmail.com,butch@xyz.club,2019-04-16,3,University Sports Centre
20,gary_the_man@yahoo.co.uk,tabitha.stacey@gmail.com,2019-04-19,1,University Sports Centre
21,jwh@hotmail.co,sylvia.hathaway@gmail.com,2019-04-24,2,Waterstone Crook Sports Centre
22,gary_the_man@yahoo.co.uk,final_fantasy_freak1993@hotmail.com,2019-04-30,2,Waterstone Crook Sports Centre
23,sylvia.hathaway@gmail.com,final_fantasy_freak1993@hotmail.com,2019-05-03,4,Waterstone Crook Sports Centre
24,tabitha.stacey@gmail.com,final_fantasy_freak1993@hotmail.com,2019-05-13,3,University Sports Centre
25,jwh@hotmail.co,final_fantasy_freak1993@hotmail.com,2019-05-21,3,University Sports Centre
26,gary_the_man@yahoo.co.uk,sylvia.hathaway@gmail.com,2019-06-06,4,Waterstone Crook Sports Centre
27,tabitha.stacey@gmail.com,sylvia.hathaway@gmail.com,2019-06-28,1,University Sports Centre
28,jwh@hotmail.co,tabitha.stacey@gmail.com,2019-07-15,2,Waterstone Crook Sports Centre
29,jwh@hotmail.co,gary_the_man@yahoo.co.uk,2019-07-17,1,University Sports Centre
30,jwh@hotmail.co,butch@xyz.club,2019-07-22,1,University Sports Centre
31,gary_the_man@yahoo.co.uk,butch@xyz.club,2019-07-26,1,University Sports Centre
32,tasha.marsden@gmail.com,u_marsden@gmail.com,2019-09-27,2,Waterstone Crook Sports Centre
33,srrogers@yahoo.co.uk,u_marsden@gmail.com,2019-09-29,2,Waterstone Crook Sports Centre
34,gary_the_man@yahoo.co.uk,tasha.marsden@gmail.com,2019-09-29,4,Waterstone Crook Sports Centre
35,srrogers@yahoo.co.uk,tasha.marsden@gmail.com,2019-10-02,1,Forthill Lawn Tennis Club
36,gary_the_man@yahoo.co.uk,srrogers@yahoo.co.uk,2019-10-09,1,Waterstone Crook Sports Centre
37,gary_the_man@yahoo.co.uk,u_marsden@gmail.com,2019-10-30,3,University Sports Centre
38,tabitha.stacey@gmail.com,butch@xyz.club,2020-05-05,1,Waterstone Crook Sports Centre
39,butch@xyz.club,sylvia.hathaway@gmail.com,2020-05-15,2,Waterstone Crook Sports Centre
40,gary_the_man@yahoo.co.uk,sylvia.hathaway@gmail.com,2020-05-26,1,East Sands Leisure Centre
41,tabitha.stacey@gmail.com,sylvia.hathaway@gmail.com,2020-05-28,1,East Sands Leisure Centre
42,tabitha.stacey@gmail.com,gary_the_man@yahoo.co.uk,2020-07-03,2,East Sands Leisure Centre
43,butch@xyz.club,gary_the_man@yahoo.co.uk,2020-07-06,3,University Sports Centre
44,tasha.marsden@gmail.com,u_marsden@gmail.com,2020-10-02,1,Waterstone Crook Sports Centre
45,gary_the_man@yahoo.co.uk,tasha.marsden@gmail.com,2020-10-09,2,Waterstone Crook Sports Centre
46,gary_the_man@yahoo.co.uk,u_marsden@gmail.com,2020-11-05,1,Forthill Lawn Tennis Club
